customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,country,occupation,income_bracket,customer_since
e19d1ec8-e8e8-4a08-8044-4f666a6878d3,Stephanie,Weaver,1965-07-26,Female,anthonyolson@example.net,+1-846-839-4965,"1532 Jamie Mills, East Kennethstad, WY 76164",Coffeyport,Libyan Arab Jamahiriya,Doctor,middle,2020-12-23
2b35ba51-4ad4-4ca3-a20f-15ffcf9278f2,Antonio,Russell,1950-04-26,Female,vhill@example.org,711-720-5916,"0506 Jessica Ways Apt. 792, Lake Frankshire, WA 78046",South Kevin,Zambia,Doctor,middle,2024-06-23
e413a881-8b60-4668-81fe-85f5ed8dfcba,Christopher,Hicks,1992-09-11,Other,johnsonbrooke@example.org,664.474.5928x325,"Unit 4487 Box 1389, DPO AE 72422",Port Hannah,Somalia,Engineer,high,2023-03-14
b857550d-7a7b-4105-9f91-beb027a6afb9,Steven,Scott,1999-11-17,Other,christophernewman@example.org,+1-254-216-6020x436,"244 Bradley Skyway, Mariaport, DC 06881",North Keith,Puerto Rico,Engineer,low,2021-10-17
16891a1a-5004-45b9-9d2a-b1480d6b5ae3,Leah,Nichols,1949-01-25,Male,deborah82@example.com,458-254-8014,"852 Jill Estate, Port Eric, NE 72618",Lake William,Tonga,Teacher,low,2024-03-04
01c5b15f-e815-4ebc-826a-2fa5485821f5,Nathaniel,Watts,1960-10-05,Female,stephen42@example.com,716-411-4858,"4577 Stanley Station, Zacharyside, ID 74922",North Heather,Mauritius,Doctor,low,2022-09-27
13f9e7ba-a28f-43ce-9571-365ac5e3b8ab,Tyler,Wheeler,1957-07-04,Female,pricewilliam@example.org,+1-324-581-0767x4165,"6069 Michael Fork, Lindamouth, VA 41990",New Gregorymouth,French Polynesia,Doctor,high,2022-03-05
e426ef05-6eb1-48e9-b74f-88c3b55f0e92,Hannah,Clayton,2006-05-06,Female,garzathomas@example.com,3514417969,"7350 Vasquez Turnpike, New Melissa, SC 11827",Port Ernest,Bolivia,Doctor,middle,2022-09-24
9645d0e8-f80a-4b80-a393-dbbcf26e5c1b,Wanda,Nelson,1983-07-16,Female,wcortez@example.org,001-641-837-5866,"0034 Sandra Village Suite 263, Lake Alicia, GA 57962",Wongland,Guam,Lawyer,high,2021-03-21
e3afe82b-305e-432f-be76-47af19d5db58,Elizabeth,Castro,2004-07-02,Female,wilsonbrian@example.com,215.381.7815,"630 Hayes Courts, West Justin, IN 19126",Allisonstad,American Samoa,Lawyer,high,2021-04-03
df1a7f25-6b4d-4b49-bed5-1ae775b9e862,Jason,Harris,1957-10-17,Male,steven69@example.com,579-543-2033x990,"16932 Ryan Ways, Tylerview, WV 62243",Port Maureen,Turks and Caicos Islands,Doctor,middle,2023-02-23
a095142a-677d-487f-9e95-caa5784d9912,Andrea,Ortiz,1979-03-15,Male,jimmy68@example.com,578-900-8263x82234,"381 Beth Inlet Suite 121, Aaronville, OH 31944",North Marie,Serbia,Lawyer,middle,2020-08-08
6e3be690-faee-41f7-8d70-4f34b46e42f9,Amy,Kelly,1966-07-29,Female,dannyfisher@example.com,001-595-892-5621x654,"USS Smith, FPO AP 19200",Stephanieview,Saint Barthelemy,Engineer,low,2024-03-06
c48ee896-05f9-49d9-b439-3f696a0ae89c,Sergio,Higgins,1958-11-12,Other,brittanymejia@example.org,8563841847,"3942 Jessica Unions, East Amyview, CA 24076",West Tiffanyview,Niue,Teacher,low,2023-11-13
7d5d95c8-ddde-41dc-873b-85b9814e68bb,Christopher,Black,1945-03-23,Female,qpeters@example.com,(540)544-7896x315,"7177 Harper Mountain, Lake Laura, VA 99896",Clarkfurt,American Samoa,Doctor,high,2023-03-11
4b626bce-727b-494a-a226-e76bff62c616,Lisa,Martin,1949-09-05,Female,kimmonica@example.org,3424514404,"15938 Mary Drive Suite 816, Leeland, AZ 16170",East Dannyville,French Guiana,Teacher,middle,2021-04-16
b68ae53b-3f36-47d8-9706-18f9a0852a1d,Heather,Eaton,1983-07-23,Female,ncaldwell@example.net,258-684-9911x0138,"PSC 4320, Box 8121, APO AP 68100",Matthewburgh,Armenia,Engineer,low,2022-02-02
5bd3754a-68a8-4475-8bb3-aee4ebc8bed9,Rhonda,Henderson,1965-07-12,Other,brooke46@example.com,311-486-3282x6629,"PSC 2035, Box 0783, APO AE 15721",South Alexstad,Cocos (Keeling) Islands,Artist,high,2022-03-29
77ead867-39b1-4585-b08c-a1a5158d9fea,Madison,Marshall,1992-04-03,Other,margaretwhitehead@example.net,001-993-775-1367x00799,"8914 Salazar Summit Suite 693, Grahamport, MN 33547",Gabrielletown,Seychelles,Artist,middle,2022-03-13
2ee0e8d1-bc1b-48a2-b0d0-5d98e9d4c326,Terri,Garcia,2005-07-31,Male,gjimenez@example.org,(750)928-0764,"17287 Watson Inlet, East Kevinport, AL 04554",Davidbury,Iraq,Artist,low,2021-09-22
328ac89a-c0de-4c54-9be3-8bf6d1c5c877,Michael,Thompson,1993-11-15,Female,kennethrogers@example.net,001-297-222-2943,"596 Samantha Station Apt. 242, North John, NV 08757",Christopherchester,Yemen,Artist,middle,2023-07-02
8178921c-a5f3-4249-8855-a07088bd4bb0,Sheryl,Orr,1988-09-10,Male,lukeduncan@example.com,001-451-406-4332x434,"88450 Sparks Valleys Apt. 918, Paulfurt, VI 90336",Wattston,Yemen,Artist,low,2021-10-23
c1450e48-9691-404b-b670-274b6aeba809,Kevin,Baker,1955-03-15,Male,bradley08@example.net,+1-905-579-3413x48283,"9465 Young Wall Apt. 745, North Kathleenburgh, DE 60717",Brianton,Bahamas,Engineer,middle,2021-05-17
ec49e564-ebc2-4e88-ab0c-1c7bab2e8790,Rebecca,Chapman,1951-01-30,Female,amberwilliams@example.org,471-350-8502,"USS Garner, FPO AA 12885",Port William,Bermuda,Engineer,low,2024-06-10
3fd60eea-b1b2-45f0-90ae-3335a1ceb91b,Gina,Walls,1979-02-14,Other,gravesjustin@example.com,(899)300-6390,"PSC 1949, Box 9381, APO AP 95525",Brianside,Benin,Teacher,middle,2022-03-17
de81ae78-7549-4df9-b242-cfab90db6452,Matthew,Walls,1987-03-06,Other,reyesjacob@example.net,2302610186,"14182 Lopez Glen Apt. 349, Brucebury, AS 61549",Michaelfort,Ireland,Doctor,middle,2021-04-10
2b0d77dd-07cd-4fa5-8233-b70688d2baa6,Gregory,Garcia,2005-10-11,Other,zpennington@example.org,358-590-9482x36239,"Unit 2175 Box 8670, DPO AA 94773",Patrickville,Mauritius,Doctor,low,2020-10-29
ac941efb-274d-4ee5-82d1-d0564a121835,Kathryn,Ramirez,1993-06-22,Other,efinley@example.org,(929)388-9858x950,"064 Hurley Shores, Bellhaven, IL 38448",Rosemouth,Zimbabwe,Teacher,low,2023-02-24
dca2920d-e127-4142-b32a-e4eecbf0ac40,Roy,Riley,1951-12-25,Male,ronald97@example.com,001-597-501-3133,"609 Kari Port Suite 593, Dominiqueburgh, UT 35317",Port Mark,Bermuda,Engineer,middle,2021-11-14
ed194a7a-b4b9-4392-800f-cecec7960dce,Marc,Chavez,1962-06-07,Female,jennifer84@example.net,(484)247-8891,"360 Johnson Loop, New Dianaberg, FM 44981",Port Daniel,Zambia,Lawyer,high,2024-07-27
e9034814-6569-4b12-bdaa-ffc42dfca7b2,Brittany,Davidson,1975-12-06,Female,yhanson@example.org,001-791-995-8192x5948,"USNS Robinson, FPO AP 29011",Andersonbury,Bahamas,Artist,high,2024-06-25
6df1637f-f334-4cf0-a4bc-85d53262544f,Julia,Baker,1948-02-27,Female,carolynspence@example.com,001-481-660-9087x63342,"84212 Taylor Radial, Rodriguezhaven, ID 42927",Mccormickland,Tuvalu,Teacher,middle,2021-01-15
b4970009-6726-46ac-96a4-db6dd0ebaae3,Troy,Scott,1952-06-19,Female,ryan89@example.com,001-771-986-0049x83838,"4662 Katrina Causeway, Port Tiffanyburgh, TN 01812",Ericaborough,Iceland,Artist,low,2023-08-19
73c1f07e-f10a-472e-8932-a047636f4584,Teresa,Patrick,1997-07-15,Female,cathygonzalez@example.org,+1-478-684-1275,"9996 Dawson View, South Michael, MO 65896",Sanchezmouth,Ghana,Lawyer,middle,2020-08-07
a8a1c0bb-e9ee-4b32-838a-0a9089341ceb,John,Friedman,2004-11-09,Female,joseph87@example.org,001-718-934-9028,"65303 James Cove, Port Bradshire, TN 62447",Lake Spencermouth,Brazil,Lawyer,high,2021-09-10
4256d18b-5efe-41d7-a2f1-ddaef7dd9fe7,Helen,Smith,1970-08-08,Other,dbooker@example.com,490-802-1865x77166,"59624 Mckinney Trace Apt. 398, East Randyburgh, IN 95534",West Shannonshire,Slovakia (Slovak Republic),Teacher,low,2022-08-31
1e733c9c-e587-4d2a-8e89-62f5ea127766,Aaron,Hall,1989-05-09,Female,brownalicia@example.net,274.684.6351,"58861 Hannah Street, Quinnville, OR 28797",West Shannonfurt,Turkmenistan,Lawyer,middle,2020-07-18
634947c3-e39d-4df2-8b53-45aa83fe607c,Victor,Garrett,1966-04-22,Male,jennifer86@example.org,001-983-418-2635,"87538 Christopher Valleys Suite 857, Port Barbaraville, RI 78493",North Edwardburgh,Argentina,Doctor,middle,2022-11-17
22dc6917-c1cc-4287-a1ee-d6bba01b85fc,Emily,Mccarthy,1979-09-04,Other,wbrown@example.org,645.268.0190x42274,"Unit 7405 Box 3609, DPO AE 73760",East Judy,Benin,Artist,high,2021-07-08
2798dc07-3031-4488-9599-87f600a51508,Michele,Palmer,1971-09-03,Male,peterssean@example.org,398.846.7660,"3876 Hamilton Ford, Dawnbury, VI 98021",Amymouth,Guam,Engineer,low,2021-06-18
4c11b2cc-e818-4ecb-8536-a0da813c8ac0,Amanda,Williams,1991-10-13,Female,zrussell@example.net,(979)969-6366x8513,"09933 Steven Square Apt. 584, Lake Willie, DE 45336",Piercechester,French Guiana,Doctor,high,2022-12-23
9dd02bb1-6e34-4e43-9547-670fb4d4ae6b,David,Smith,1955-08-28,Male,wmitchell@example.net,418-274-6806,"6162 Meyer Springs Apt. 741, Jenniferside, CA 30358",Janetshire,Mauritius,Engineer,middle,2023-01-04
ff86d206-502f-495b-80a8-22a7764b2dbd,Richard,Cunningham,1995-05-09,Other,chadwarren@example.com,(232)323-5246x81436,"0127 Deborah Courts, Chavezfurt, CO 88034",Thomasfurt,United States of America,Engineer,middle,2021-09-24
3d7467c8-eaf5-4612-b39f-6220a1541d13,Jessica,Kim,1963-03-24,Female,ecowan@example.net,(605)848-8603x34671,"6873 Nelson Squares, Lake Roger, TX 64458",East Gregoryland,Mongolia,Teacher,low,2024-03-28
ed88a861-7712-450e-8c74-5fa3aee8ee5d,Rachel,Fuller,1996-10-04,Male,davischloe@example.net,(740)739-5320,"6105 Nelson Mountain, Ortizmouth, NY 12741",Davidside,Netherlands,Lawyer,middle,2023-05-15
31117654-4f59-4e3e-b469-0691ddcb865c,Denise,Singh,1986-11-07,Female,torresann@example.org,(333)800-7737x36617,"2858 Lisa Stream, Angelahaven, KS 83478",Jameston,Costa Rica,Doctor,high,2023-05-29
ee9ae2f5-e1a6-47bc-94ec-9024fdfd99ce,Anthony,Young,1978-11-16,Other,jessica33@example.com,001-247-412-0727x4136,"80603 Estrada Plaza Suite 626, Carrollstad, PW 92684",Wolfborough,Cape Verde,Doctor,middle,2023-08-30
e2716a53-6cc0-4fa8-93ec-97cce8312cfe,Joseph,Martin,1958-01-17,Male,isabellayoung@example.net,962.341.1077x9336,"1698 Meadows Squares Apt. 685, Randytown, MO 11453",Angelaside,Greece,Artist,high,2020-07-10
