entity_id,entity_name,entity_type,risk_category,listed_date,source
5437654e-398b-498d-b5e7-6a21ef85af2b,Larson-Singh,individual,high,2021-07-04,government
4d50997c-6d7a-43fc-ba97-dca8bb83e1f7,Newman-Combs,organization,medium,2023-08-14,financial institution
f29b63f7-6752-4be9-add5-e4756d0ffde8,Campbell PLC,individual,low,2022-11-04,international organization
d145bd1e-6b75-487d-bd23-61454e861622,Rivas-Stone,individual,medium,2021-07-04,financial institution
0676e0a6-3077-4df4-8816-60ae9ef4b113,"Lane, Petty and Rowe",individual,medium,2020-02-02,international organization
de9795f9-159b-4b1e-b1fc-58756c7f7b88,Burke-Carter,individual,low,2023-09-26,government
688bc2b8-48f8-47c6-9245-d3341dedc02c,Simmons-Singh,organization,high,2020-01-16,government
923b1f84-3b99-478e-b578-cbd203610fe6,Robinson-Reyes,organization,low,2021-02-17,international organization
f3da552b-a3da-4a03-81c3-07fdfcfce20a,"Scott, Snow and Lara",organization,high,2020-02-23,financial institution
ffe28ec3-6a2f-44d0-96f3-c38301273011,Johnson Inc,organization,low,2021-01-11,financial institution
03bafae1-1c7c-492c-b1c1-ccc93c4cf18a,Johnston-Love,individual,low,2022-05-03,government
4ed6a0ec-f612-49b4-865f-74b402a77120,Williams-Johnson,individual,high,2021-01-01,government
7c104f89-b71e-499c-ad55-e55fb6f166e7,Riddle Ltd,individual,medium,2023-03-09,government
492c994e-6793-4e1a-bbb1-142d947bfac5,Barnes LLC,individual,medium,2024-01-23,international organization
e9b00aca-face-4775-90fd-40a79ec94ae6,"Rivera, Gonzalez and Henderson",organization,low,2021-03-19,international organization
a78a86e6-9cc8-4f62-84aa-a63e9b6f8a76,"Rivera, Odonnell and Mcmahon",individual,medium,2022-03-20,government
3cb3187e-e826-4dd2-a855-cfb468e04268,Nichols-Arnold,individual,low,2020-01-30,financial institution
04c8197c-4f61-40ac-b38c-e6d9f38fe2ab,Hernandez-Hill,individual,medium,2022-05-24,financial institution
